word,n,Year
orange puffball sponge,3,All Years
ornata were common,3,All Years
palm and california,3,All Years
per fish transect,3,All Years
per square meter,3,All Years
pink and red,3,All Years
pisaster giganteus lytechinus,3,All Years
porcupinefish diodon hystrix,3,All Years
presence of large,3,All Years
present in the,3,All Years
purpuratus barren with,3,All Years
recommend that the,3,All Years
recorded on band,3,All Years
recruitment year for,3,All Years
red sea cucumbers,3,All Years
redwood national park,3,All Years
remained fairly steady,3,All Years
remained steady at,3,All Years
respectively white sea,3,All Years
responsible for the,3,All Years
rosa island site,3,All Years
rosa island station,3,All Years
sampling began in,3,All Years
sampling dates june,3,All Years
sand tube worms,3,All Years
sea cucumber pachythyone,3,All Years
sea urchin mean,3,All Years
sea urchin size,3,All Years
sea urchin tests,3,All Years
sea urchins densities,3,All Years
sea urchins in,3,All Years
sea urchins sea,3,All Years
sea urchins was,3,All Years
showed no sign,3,All Years
signs of recovery,3,All Years
sites this was,3,All Years
south santa rosa,3,All Years
species list searches,3,All Years
spotted porcupinefish diodon,3,All Years
spp was common,3,All Years
star density declined,3,All Years
stars and giant,3,All Years
stars were not,3,All Years
stars were observed,3,All Years
strongylocentrotus purpuratus barren,3,All Years
studies unit technical,3,All Years
symptoms of the,3,All Years
symptoms of wasting,3,All Years
than at any,3,All Years
than purple sea,3,All Years
than that of,3,All Years
the amount of,3,All Years
the california department,3,All Years
the christmas tree,3,All Years
the giant keyhole,3,All Years
the giant spined,3,All Years
the highest level,3,All Years
the la jolla,3,All Years
the last four,3,All Years
the long term,3,All Years
the mean radius,3,All Years
the miscellaneous invertebrate,3,All Years
the monitoring program,3,All Years
the red gorgonian,3,All Years
the second highest,3,All Years
the south end,3,All Years
the transect line,3,All Years
the warty sea,3,All Years
the white sea,3,All Years
their highest level,3,All Years
their highest levels,3,All Years
there were a,3,All Years
this year a,3,All Years
though there was,3,All Years
time in three,3,All Years
to be recovering,3,All Years
turban snail density,3,All Years
turban snails were,3,All Years
two years from,3,All Years
unit technical report,3,All Years
urchin barren developing,3,All Years
urchin density declined,3,All Years
urchin density remained,3,All Years
urchin size distribution,3,All Years
urchins were abundant,3,All Years
urchins were large,3,All Years
used to monitor,3,All Years
very abundant on,3,All Years
was found on,3,All Years
was seen on,3,All Years
wasting disease were,3,All Years
we need to,3,All Years
we recommend that,3,All Years
were absent from,3,All Years
were collected and,3,All Years
were common large,3,All Years
were found inside,3,All Years
were not detected,3,All Years
were not seen,3,All Years
yellow banks and,3,All Years
young of the,3,All Years
a bacterial infection,2,All Years
a complete barren,2,All Years
a diverse assemblage,2,All Years
a few giant,2,All Years
a high diversity,2,All Years
a mean cover,2,All Years
a poor recruitment,2,All Years
a sea urchin,2,All Years
a small kelp,2,All Years
a spotted porcupinefish,2,All Years
a very dense,2,All Years
abalone and several,2,All Years
abalone haliotis corrugata,2,All Years
abalone surveys in,2,All Years
absence and relative,2,All Years
abundance for all,2,All Years
abundant and were,2,All Years
abundant in october,2,All Years
abundant in some,2,All Years
abundant juvenile sheephead,2,All Years
abundant kelp surfperch,2,All Years
addition to the,2,All Years
adult plants were,2,All Years
agar weed gelidium,2,All Years
agar weed was,2,All Years
algae and a,2,All Years
algae fish and,2,All Years
algae increased to,2,All Years
algae mostly filamentous,2,All Years
algae the brown,2,All Years
algae with the,2,All Years
all channel islands,2,All Years
and a few,2,All Years
and admiral's reef,2,All Years
and anacapa islands,2,All Years
and blackeye gobies,2,All Years
and bryozoans were,2,All Years
and christmas tree,2,All Years
and cruise list,2,All Years
and game and,2,All Years
and holdfast diameter,2,All Years
and johnson's lee,2,All Years
and juvenile fish,2,All Years
and kelp curler,2,All Years
and lingcod were,2,All Years
and low diversity,2,All Years
and monitoring of,2,All Years
and opaleye were,2,All Years
and relative abundance,2,All Years
and sea stars,2,All Years
and surfperch were,2,All Years
are presented as,2,All Years
astraea undosa pisaster,2,All Years
at least one,2,All Years
at the park,2,All Years
aurantia patiria miniata,2,All Years
average counts obtained,2,All Years
avery channel islands,2,All Years
b s white,2,All Years
banded and blackeye,2,All Years
barbara and anacapa,2,All Years
barren with a,2,All Years
channel islands national,551,1982-1989
islands national park,549,1982-1989
kelp forest monitoring,491,1982-1989
park kelp forest,445,1982-1989
national park kelp,444,1982-1989
label mean std,193,1982-1989
mean std dev,193,1982-1989
std dev cases,193,1982-1989
value label mean,193,1982-1989
variable value label,193,1982-1989
size frequencies location,185,1982-1989
sri johnsons lee,169,1982-1989
dev cases location,108,1982-1989
gull island south,104,1982-1989
sp ,90,1982-1989
sbi southeast sealion,88,1982-1989
sci pelican bay,88,1982-1989
smi hare rock,88,1982-1989
smi wyckoff ledge,87,1982-1989
ani admirals reef,86,1982-1989
sci frys harbor,86,1982-1989
sci gull island,86,1982-1989
sri rodes reef,86,1982-1989
johnsons lee south,85,1982-1989
santa cruz island,85,1982-1989
sbi arch point,85,1982-1989
sci scorpion anchorage,85,1982-1989
ani cathedral cove,84,1982-1989
ani landing cove,84,1982-1989
johnsons lee north,84,1982-1989
transects variable value,84,1982-1989
sbi cat canyon,83,1982-1989
santa rosa island,56,1982-1989
national park technical,51,1982-1989
park technical report,51,1982-1989
santa barbara island,51,1982-1989
fish transects variable,48,1982-1989
giganteus ,48,1982-1989
franciscanus ,45,1982-1989
strongylocentrotus franciscanus cases,44,1982-1989
dev cases species,43,1982-1989
quadrats variable value,43,1982-1989
dev cases year,42,1982-1989
franciscanus strongylocentrotus franciscanus,42,1982-1989
purpuratus ,42,1982-1989
sci yellow banks,42,1982-1989
strongylocentrotus franciscanus strongylocentrotus,42,1982-1989
srongylocentrotus purpuratus cases,41,1982-1989
purpuratus srongylocentrotus purpuratus,38,1982-1989
srongylocentrotus purpuratus srongylocentrotus,38,1982-1989
spadicea ,37,1982-1989
band transects variable,36,1982-1989
cypraea spadicea cases,36,1982-1989
san miguel island,35,1982-1989
miniata ,33,1982-1989
patiria miniata cases,31,1982-1989
cypraea spadicea cypraea,30,1982-1989
spadicea cypraea spadicea,30,1982-1989
astraea undosa cases,29,1982-1989
undosa ,29,1982-1989
crenulata ,27,1982-1989
megathura crenulata cases,26,1982-1989
pisaster giganteus cases,26,1982-1989
aurantia ,24,1982-1989
crenulata megathura crenulata,23,1982-1989
megathura crenulata megathura,23,1982-1989
miniata patiria miniata,23,1982-1989
patiria miniata patiria,23,1982-1989
tethya aurantia cases,23,1982-1989
the kelp forest,23,1982-1989
astraea undosa astraea,22,1982-1989
corrugata ,22,1982-1989
scigi scifh scipb,22,1982-1989
srirr scigi scifh,22,1982-1989
undosa astraea undosa,22,1982-1989
aniar anicc anilc,21,1982-1989
anicc anilc sbisesl,21,1982-1989
anilc sbisesl sbiap,21,1982-1989
californica ,21,1982-1989
forest monitoring species,21,1982-1989
list location smiwlsmihr,21,1982-1989
location smiwlsmihr srijln,21,1982-1989
monitoring species list,21,1982-1989
sbisesl sbiap sbicc,21,1982-1989
scifh scipb scisa,21,1982-1989
scipb scisa sciyb,21,1982-1989
scisa sciyb aniar,21,1982-1989
sciyb aniar anicc,21,1982-1989
smiwlsmihr srijln srijls,21,1982-1989
species list location,21,1982-1989
srijln srijls srirr,21,1982-1989
srijls srirr scigi,21,1982-1989
giganteus pisaster giganteus,20,1982-1989
haliotis corrugata cases,20,1982-1989
hinnites giganteus cases,20,1982-1989
pisaster giganteus pisaster,20,1982-1989
anamesus ,17,1982-1989
kelletii ,17,1982-1989
kelletia kelletii cases,16,1982-1989
lytechinus anamesus cases,16,1982-1989
cruz island gull,15,1982-1989
giganteus hinnites giganteus,15,1982-1989
hinnites giganteus hinnites,15,1982-1989
island gull island,15,1982-1989
island hare rock,15,1982-1989
johnson's lee south,15,1982-1989
juveniles ,15,1982-1989
miguel island hare,15,1982-1989
 appx,14,1982-1989
calif fish game,14,1982-1989
cruz island pelican,14,1982-1989
island johnson's lee,14,1982-1989
island pelican bay,14,1982-1989
rosa island johnson's,14,1982-1989
anacapa island admiral's,13,1982-1989
anamesus lytechinus anamesus,13,1982-1989
aurantia tethya aurantia,13,1982-1989
cruz island fry's,13,1982-1989
cruz island scorpion,13,1982-1989
cruz island yellowbanks,13,1982-1989
island admiral's reef,13,1982-1989
island fry's harbor,13,1982-1989
island johnsons's lee,13,1982-1989
island rodes reef,13,1982-1989
island scorpion anchorage,13,1982-1989
johnsons's lee north,13,1982-1989
lytechinus anamesus lytechinus,13,1982-1989
rosa island johnsons's,13,1982-1989
rosa island rodes,13,1982-1989
tethya aurantia tethya,13,1982-1989
anacapa island landing,12,1982-1989
barbara island south,12,1982-1989
corrugata haliotis corrugata,12,1982-1989
east sealion rookery,12,1982-1989
haliotis corrugata haliotis,12,1982-1989
island landing cove,12,1982-1989
island south east,12,1982-1989
island wyckoff ledge,12,1982-1989
rufescens ,12,1982-1989
south east sealion,12,1982-1989
haliotis rufescens cases,11,1982-1989
kelletia kelletii kelletia,11,1982-1989
kelletii kelletia kelletii,11,1982-1989
miguel island wyckoff,11,1982-1989
of the kelp,11,1982-1989
 sebastes,10,1982-1989
anacapa island cathedral,10,1982-1989
haliotis rufescens haliotis,10,1982-1989
island cathedral cove,10,1982-1989
of the population,10,1982-1989
rufescens haliotis rufescens,10,1982-1989
landing marine lab,9,1982-1989
moss landing marine,9,1982-1989
random point contact,9,1982-1989
sea urchin strongylocentrotus,9,1982-1989
barbara island arch,8,1982-1989
barbara island cat,8,1982-1989
fish and game,8,1982-1989
forest monitoring program,8,1982-1989
helianthoides ,8,1982-1989
island arch point,8,1982-1989
island cat canyon,8,1982-1989
kelp macrocystis pyrifera,8,1982-1989
mm test diameter,8,1982-1989
size frequency measurements,8,1982-1989
u c santa,8,1982-1989
yosemite national park,8,1982-1989
at pelican bay,7,1982-1989
at smiwl and,7,1982-1989
giant kelp macrocystis,7,1982-1989
johnson’s lee north,7,1982-1989
monitoring handbook davis,7,1982-1989
of fish and,7,1982-1989
of sea urchins,7,1982-1989
percent cover of,7,1982-1989
pycnopodia helianthoides cases,7,1982-1989
s ,7,1982-1989
santa cruz and,7,1982-1989
the number of,7,1982-1989
the population was,7,1982-1989
urchin strongylocentrotus purpuratus,7,1982-1989
were used to,7,1982-1989
 calliostoma,6,1982-1989
 tealia,6,1982-1989
anchorage santa cruz,6,1982-1989
and santa rosa,6,1982-1989
are presented in,6,1982-1989
as well as,6,1982-1989
at arch point,6,1982-1989
at johnson’s lee,6,1982-1989
band transect data,6,1982-1989
bare substrate and,6,1982-1989
californicus ,6,1982-1989
cases species sebastes,6,1982-1989
during the design,6,1982-1989
forest monitoring data,6,1982-1989
helianthoides pycnopodia helianthoides,6,1982-1989
in southern california,6,1982-1989
of bare substrate,6,1982-1989
purple sea urchin,6,1982-1989
pycnopodia helianthoides pycnopodia,6,1982-1989
recruitment occurred at,6,1982-1989
refer to the,6,1982-1989
scorpion anchorage santa,6,1982-1989
the design phase,6,1982-1989
the monitoring handbook,6,1982-1989
total number of,6,1982-1989
x s x,6,1982-1989
 cucumaria,5,1982-1989
 desmarestia,5,1982-1989
 gigartina,5,1982-1989
 rhodymenia,5,1982-1989
 tegula,5,1982-1989
all kelp forest,5,1982-1989
and data management,5,1982-1989
and total number,5,1982-1989
are summaries of,5,1982-1989
as a result,5,1982-1989
at most sites,5,1982-1989
at wyckoff ledge,5,1982-1989
bulk of the,5,1982-1989
c santa barbara,5,1982-1989
cases are given,5,1982-1989
cover of algae,5,1982-1989
cruz island and,5,1982-1989
data gathered during,5,1982-1989
data management refer,5,1982-1989
data were summarized,5,1982-1989
dayton p k,5,1982-1989
dbase iii files,5,1982-1989
details of methods,5,1982-1989
encrusting coralline algae,5,1982-1989
five park islands,5,1982-1989
following are summaries,5,1982-1989
for all kelp,5,1982-1989
for details of,5,1982-1989
foster m s,5,1982-1989
from translated dbase,5,1982-1989
g d g,5,1982-1989
g g g,5,1982-1989
in the kelp,5,1982-1989
introduction following are,5,1982-1989
kelp forest community,5,1982-1989
locations and years,5,1982-1989
management refer to,5,1982-1989
methods and data,5,1982-1989
miguel island and,5,1982-1989
monitoring program sampling,5,1982-1989
national park service,5,1982-1989
notes on methods,5,1982-1989
number of samples,5,1982-1989
of data gathered,5,1982-1989
of methods and,5,1982-1989
of samples cases,5,1982-1989
of the sea,5,1982-1989
pacifica ,5,1982-1989
part of the,5,1982-1989
population dynamics of,5,1982-1989
program sampling sites,5,1982-1989
programs from translated,5,1982-1989
pycnopodia helianthoides and,5,1982-1989
sample sizes were,5,1982-1989
samples cases are,5,1982-1989
sb ia p,5,1982-1989
sea star populations,5,1982-1989
size frequency data,5,1982-1989
snail astraea undosa,5,1982-1989
spsspc programs from,5,1982-1989
summaries of data,5,1982-1989
summarized with spsspc,5,1982-1989
tegner and dayton,5,1982-1989
the bulk of,5,1982-1989
the densities of,5,1982-1989
the five park,5,1982-1989
the population structure,5,1982-1989
the sea urchin,5,1982-1989
to the monitoring,5,1982-1989
translated dbase iii,5,1982-1989
were summarized with,5,1982-1989
with spsspc programs,5,1982-1989
 betaeus,4,1982-1989
 cadlina,4,1982-1989
 callophyllis,4,1982-1989
 codium,4,1982-1989
 h,4,1982-1989
 haliotis,4,1982-1989
 xe,4,1982-1989
abalone h corrugata,4,1982-1989
admiral’s reef anacapa,4,1982-1989
an artifact of,4,1982-1989
and admiral’s reef,4,1982-1989
and arch point,4,1982-1989
and does not,4,1982-1989
and giant kelp,4,1982-1989
and gull island,4,1982-1989
and percentage of,4,1982-1989
and sea urchins,4,1982-1989
and years where,4,1982-1989
arch point and,4,1982-1989
arch point santa,4,1982-1989
are given data,4,1982-1989
artifact of the,4,1982-1989
astraea undosa and,4,1982-1989
at san miguel,4,1982-1989
at santa barbara,4,1982-1989
at scifh and,4,1982-1989
at some sites,4,1982-1989
at srijlno and,4,1982-1989
at the santa,4,1982-1989
aware that the,4,1982-1989
barbara island sites,4,1982-1989
bay santa cruz,4,1982-1989
be aware that,4,1982-1989
by tegner and,4,1982-1989
calif dept of,4,1982-1989
california channel islands,4,1982-1989
can be found,4,1982-1989
cases species embiotica,4,1982-1989
composition and percentage,4,1982-1989
database program and,4,1982-1989
density of sea,4,1982-1989
dept of fish,4,1982-1989
deviations and total,4,1982-1989
digits is an,4,1982-1989
does not imply,4,1982-1989
e x,4,1982-1989
each of the,4,1982-1989
ebert t a,4,1982-1989
exp mar biol,4,1982-1989
f s g,4,1982-1989
files readers should,4,1982-1989
g d b,4,1982-1989
given data were,4,1982-1989
gull island santa,4,1982-1989
iii files readers,4,1982-1989
imply this level,4,1982-1989
is an artifact,4,1982-1989
island santa cruz,4,1982-1989
j exp mar,4,1982-1989
level of precision,4,1982-1989
lytechinus anamesus were,4,1982-1989
m acro cystis,4,1982-1989
macrocystis pyrifera at,4,1982-1989
mar biol ecol,4,1982-1989
means standard deviations,4,1982-1989
morris et al,4,1982-1989
not imply this,4,1982-1989
number of significant,4,1982-1989
of precision for,4,1982-1989
of significant digits,4,1982-1989
of the database,4,1982-1989
of the three,4,1982-1989
on band transects,4,1982-1989
pelican bay santa,4,1982-1989
percentage of bare,4,1982-1989
pink abalone h,4,1982-1989
point contact data,4,1982-1989
point santa barbara,4,1982-1989
precision for details,4,1982-1989
program and does,4,1982-1989
readers should be,4,1982-1989
recruitment and growth,4,1982-1989
reef anacapa island,4,1982-1989
rookery santa barbara,4,1982-1989
santa rosa and,4,1982-1989
sea urchins at,4,1982-1989
sealion rookery santa,4,1982-1989
should be aware,4,1982-1989
significant digits is,4,1982-1989
some of the,4,1982-1989
southern california kelp,4,1982-1989
srijlno and srijlso,4,1982-1989
standard deviations and,4,1982-1989
substrate composition and,4,1982-1989
that the number,4,1982-1989
the database program,4,1982-1989
the effects of,4,1982-1989
the santa barbara,4,1982-1989
the species list,4,1982-1989
the transition zone,4,1982-1989
the year of,4,1982-1989
there was a,4,1982-1989
this level of,4,1982-1989
top snail astraea,4,1982-1989
undosa and giant,4,1982-1989
used to determine,4,1982-1989
wavy top snail,4,1982-1989
were counted in,4,1982-1989
x d x,4,1982-1989
 anthopleura,3,1982-1989
 archidistoma,3,1982-1989
 balanus,3,1982-1989
 bossiella,3,1982-1989
 botryllus,3,1982-1989
 calliarthron,3,1982-1989
 dictyota,3,1982-1989
 gelidium,3,1982-1989
 gibbonsia,3,1982-1989
 giffordia,3,1982-1989
 laurencia,3,1982-1989
 membranipora,3,1982-1989
 octopus,3,1982-1989
 pisaster,3,1982-1989
 trivia,3,1982-1989
20mm test diameter,3,1982-1989
a g a,3,1982-1989
a growth rate,3,1982-1989
a nia r,3,1982-1989
a result of,3,1982-1989
a wide range,3,1982-1989
abalone b s,3,1982-1989
abalone haliotis rufescens,3,1982-1989
adults and juveniles,3,1982-1989
anacapa landing cove,3,1982-1989
and anacapa island,3,1982-1989
and associated monitoring,3,1982-1989
and dixon j,3,1982-1989
and game bull,3,1982-1989
and mortality of,3,1982-1989
and pink abalone,3,1982-1989
and rodes reef,3,1982-1989
and s purpuratus,3,1982-1989
are available in,3,1982-1989
are provided in,3,1982-1989
around the five,3,1982-1989
articulate coralline algae,3,1982-1989
as part of,3,1982-1989
associated monitoring technique,3,1982-1989
at all other,3,1982-1989
at all three,3,1982-1989
at each of,3,1982-1989
at most locations,3,1982-1989
at other sites,3,1982-1989
at rodes reef,3,1982-1989
at smiwl in,3,1982-1989
at that time,3,1982-1989
b ro wns,3,1982-1989
band transects at,3,1982-1989
be found in,3,1982-1989
between june and,3,1982-1989
black eye goby,3,1982-1989
brown algae category,3,1982-1989
by taxonomic grouping,3,1982-1989
c and dixon,3,1982-1989
c santa cruz,3,1982-1989
california calif dept,3,1982-1989
common name scientific,3,1982-1989
d ,3,1982-1989
d g d,3,1982-1989
data are presented,3,1982-1989
department of fish,3,1982-1989
described by tegner,3,1982-1989
don channel islands,3,1982-1989
each was used,3,1982-1989
ecol prog ser,3,1982-1989
el niño event,3,1982-1989
elegans ,3,1982-1989
for all stations,3,1982-1989
forest monitoring project,3,1982-1989
franciscanus s purpuratus,3,1982-1989
g a g,3,1982-1989
g g f,3,1982-1989
giganteus patiria miniata,3,1982-1989
gorgonian b s,3,1982-1989
grouping common name,3,1982-1989
growth and mortality,3,1982-1989
growth rate of,3,1982-1989
haaker p l,3,1982-1989
highest densities of,3,1982-1989
in percent cover,3,1982-1989
in the california,3,1982-1989
in the miscellaneous,3,1982-1989
in the transition,3,1982-1989
included in the,3,1982-1989
increase in the,3,1982-1989
isaster year figure,3,1982-1989
isc b ro,3,1982-1989
island and santa,3,1982-1989
island channel islands,3,1982-1989
island sites in,3,1982-1989
islands in the,3,1982-1989
j ,3,1982-1989
june and october,3,1982-1989
kelletia kelletii astraea,3,1982-1989
kelletii astraea undosa,3,1982-1989
lassen volcanic national,3,1982-1989
ledge san miguel,3,1982-1989
m isc b,3,1982-1989
m isc reds,3,1982-1989
mann k h,3,1982-1989
mar ecol prog,3,1982-1989
marine biology vol,3,1982-1989
means represent average,3,1982-1989
megathura crenulata mean,3,1982-1989
miguel and santa,3,1982-1989
minerals management service,3,1982-1989
miscellaneous invertebrate category,3,1982-1989
mm are very,3,1982-1989
mm arm length,3,1982-1989
mm size range,3,1982-1989
mean number per,64,1990
santa cruz island,64,1990
data mean number,63,1990
mean std dev,48,1990
std dev cases,47,1990
transect data mean,47,1990
at this site,40,1990
santa rosa island,39,1990
santa barbara island,38,1990
fish transect data,32,1990
number per m2,32,1990
number per transect,32,1990
species mean std,32,1990
san miguel island,27,1990
purple sea urchin,25,1990
sea urchin density,25,1990
johnson's lee north,23,1990
miscellaneous red algae,23,1990
articulated coralline algae,22,1990
channel islands national,21,1990
max width cm,21,1990
min width cm,21,1990
red sea urchin,21,1990
crustose coralline algae,20,1990
island johnson's lee,20,1990
rosa island johnson's,20,1990
islands national park,19,1990
miscellaneous brown algae,19,1990
random point contact,19,1990
white sea urchins,19,1990
mean percent cover,17,1990
cases chromis punctipinnis,16,1990
cases green algae,16,1990
chromis punctipinnis adult,16,1990
chromis punctipinnis juvenile,16,1990
contact data mean,16,1990
cover species mean,16,1990
damalichthys vacca adult,16,1990
damalichthys vacca juvenile,16,1990
data mean percent,16,1990
date year month,16,1990
dev cases chromis,16,1990
dev cases green,16,1990
embiotoca jacksoni adult,16,1990
embiotoca jacksoni juvenile,16,1990
embiotoca lateralis adult,16,1990
embiotoca lateralis juvenile,16,1990
girella nigricans adult,16,1990
girella nigricans juvenile,16,1990
hypsypops rubicundus adult,16,1990
hypsypops rubicundus juvenile,16,1990
kelp forest monitoring,16,1990
m2 species mean,16,1990
m2 tethya aurantia,16,1990
macrocystis eisenia pterygophora,16,1990
macrocystis pyrifera adult,16,1990
macrocystis pyrifera all,16,1990
macrocystis pyrifera juvenile,16,1990
oxyjulis californica adult,16,1990
oxyjulis californica juvenile,16,1990
paralabrax clathratus adult,16,1990
paralabrax clathratus juvenile,16,1990
per m2 species,16,1990
per m2 tethya,16,1990
per transect total,16,1990
percent cover species,16,1990
point contact data,16,1990
quadrat data mean,16,1990
sea urchins were,16,1990
sebastes atrovirens adult,16,1990
sebastes atrovirens juvenile,16,1990
sebastes mystinus adult,16,1990
sebastes mystinus juvenile,16,1990
sebastes serranoides adult,16,1990
sebastes serranoides juvenile,16,1990
semicossyphus pulcher female,16,1990
semicossyphus pulcher male,16,1990
species date year,16,1990
total fish abundance,16,1990
transect total fish,16,1990
band transect data,15,1990
cases macrocystis pyrifera,15,1990
dev cases macrocystis,15,1990
max size cm,15,1990
min size cm,15,1990
of the kelp,15,1990
per transect species,15,1990
sea urchin barren,15,1990
size frequency distributions,15,1990
transect species date,15,1990
day mean std,14,1990
giant spined sea,14,1990
johnson's lee south,14,1990
month day mean,14,1990
red sea urchins,14,1990
southeast sea lion,14,1990
year month day,14,1990
of the transect,13,1990
on band transects,13,1990
sea urchin densities,13,1990
the monitoring sites,13,1990
channel islands n.p,12,1990
island admiral's reef,12,1990
island gull island,12,1990
purple sea urchins,12,1990
purpuratus ,12,1990
sea lion rookery,12,1990
strongylocentrotus purpuratus cases,12,1990
all the monitoring,11,1990
anacapa island admiral's,11,1990
cruz island gull,11,1990
end of the,11,1990
franciscanus strongylocentrotus purpuratus,11,1990
gull island south,11,1990
highest of all,11,1990
island wyckoff ledge,11,1990
macrocystis pyrifera holdfast,11,1990
macrocystis pyrifera numbers,11,1990
miguel island wyckoff,11,1990
numbers of stipes,11,1990
percent cover of,11,1990
pyrifera numbers of,11,1990
strongylocentrotus franciscanus strongylocentrotus,11,1990
cruz island pelican,10,1990
diameters ,10,1990
holdfast diameters cases,10,1990
island fry's harbor,10,1990
island pelican bay,10,1990
max height cm,10,1990
min height cm,10,1990
of all the,10,1990
of stipes macrocystis,10,1990
over the last,10,1990
pyrifera holdfast diameters,10,1990
stipes macrocystis pyrifera,10,1990
the highest of,10,1990
the kelp forest,10,1990
wavy turban snail,10,1990
anacapa island cathedral,9,1990
barbara island southeast,9,1990
california sea palm,9,1990
cruz island fry's,9,1990
cruz island yellowbanks,9,1990
for the first,9,1990
island cathedral cove,9,1990
island hare rock,9,1990
island southeast sea,9,1990
mean test diameter,9,1990
miguel island hare,9,1990
of white sea,9,1990
one of the,9,1990
parastichopus parvimensis cases,9,1990
parvimensis ,9,1990
sea stars were,9,1990
the first time,9,1990
anacapa island landing,8,1990
barbara island arch,8,1990
barbara island cat,8,1990
cruz island scorpion,8,1990
giganteus ,8,1990
island arch point,8,1990
island cat canyon,8,1990
island landing cove,8,1990
island rodes reef,8,1990
island scorpion anchorage,8,1990
most of the,8,1990
rosa island rodes,8,1990
size frequency measurements,8,1990
southern sea palm,8,1990
spined sea stars,8,1990
were not found,8,1990
abalone were found,7,1990
among the highest,7,1990
an increase in,7,1990
bat stars were,7,1990
heights ,7,1990
kelp forest with,7,1990
lophogorgia chilensis heights,7,1990
lophogorgia chilensis widths,7,1990
mature kelp forest,7,1990
of the substrate,7,1990
pink abalone were,7,1990
red abalone were,7,1990
the presence of,7,1990
the red sea,7,1990
were present in,7,1990
white sea urchin,7,1990
abundant at this,6,1990
bladder chain kelp,6,1990
cove anacapa island,6,1990
first time in,6,1990
for this site,6,1990
found on band,6,1990
giant keyhole limpet,6,1990
high abundance of,6,1990
la jolla cup,6,1990
miniata ,6,1990
patiria miniata cases,6,1990
percent cover for,6,1990
sea urchins at,6,1990
second only to,6,1990
species list surveys,6,1990
spined sea star,6,1990
the mean size,6,1990
the percent cover,6,1990
the wasting disease,6,1990
were found in,6,1990
a mean of,5,1990
abalone recruitment modules,5,1990
at the site,5,1990
band transects for,5,1990
band transects in,5,1990
c santa barbara,5,1990
chilensis heights cases,5,1990
colonial sand tube,5,1990
cruz island site,5,1990
dense kelp forest,5,1990
density declined in,5,1990
during species list,5,1990
fish and game,5,1990
found in the,5,1990
hinnites giganteus cases,5,1990
jolla cup coral,5,1990
modules were placed,5,1990
of all sites,5,1990
of fish and,5,1990
of the site,5,1990
on santa cruz,5,1990
quadrats band transects,5,1990
red gorgonians were,5,1990
sea palm and,5,1990
sunflower star density,5,1990
the kelp canopy,5,1990
the last two,5,1990
the number of,5,1990
the rock scallop,5,1990
the species list,5,1990
the wavy turban,5,1990
this site in,5,1990
to test the,5,1990
transects for the,5,1990
u c santa,5,1990
were observed at,5,1990
were very abundant,5,1990
young of year,5,1990
a decline in,4,1990
a reduction in,4,1990
abalone were not,4,1990
abundance of white,4,1990
abundant at the,4,1990
all monitoring sites,4,1990
along the transect,4,1990
anamesus ,4,1990
and california sea,4,1990
around the islands,4,1990
as well as,4,1990
at johnson's lee,4,1990
at pelican bay,4,1990
at rodes reef,4,1990
band transects random,4,1990
bat stars and,4,1990
calif dept fish,4,1990
cathedral cove anacapa,4,1990
chilensis widths lophogorgia,4,1990
common name scientific,4,1990
davis g e,4,1990
dense mature kelp,4,1990
density increased slightly,4,1990
department of fish,4,1990
dept fish game,4,1990
distributions haliotis corrugata,4,1990
distributions tethya aurantia,4,1990
due to the,4,1990
for all sites,4,1990
for all the,4,1990
for size frequency,4,1990
forest monitoring program,4,1990
frequency distributions haliotis,4,1990
frequency distributions tethya,4,1990
half of the,4,1990
highest percent cover,4,1990
increased slightly to,4,1990
juvenile giant kelp,4,1990
landing marine lab,4,1990
last two years,4,1990
lytechinus anamesus cases,4,1990
mean size of,4,1990
moss landing marine,4,1990
name scientific name,4,1990
national park california,4,1990
observed in the,4,1990
of bare substrate,4,1990
of giant kelp,4,1990
of the most,4,1990
on the band,4,1990
recruitment modules were,4,1990
relatively abundant at,4,1990
rock scallop density,4,1990
some of the,4,1990
southern staghorn bryozoan,4,1990
species of algae,4,1990
stars were found,4,1990
status purple sea,4,1990
sunflower stars were,4,1990
the band transects,4,1990
the channel islands,4,1990
the giant kelp,4,1990
the increase in,4,1990
the purple sea,4,1990
this site had,4,1990
this site was,4,1990
transects random point,4,1990
urchin barren with,4,1990
urchin densities were,4,1990
urchin density increased,4,1990
used to determine,4,1990
warty sea cucumber,4,1990
was characterized by,4,1990
was one of,4,1990
was present at,4,1990
was the highest,4,1990
well developed understory,4,1990
were abundant at,4,1990
were found on,4,1990
were observed in,4,1990
were present at,4,1990
widths lophogorgia chilensis,4,1990
with symptoms of,4,1990
a broad range,3,1990
admiral's reef anacapa,3,1990
also very common,3,1990
anacapa and santa,3,1990
anacapa island site,3,1990
anchorage santa cruz,3,1990
and giant spined,3,1990
and purple sea,3,1990
and red abalone,3,1990
and santa barbara,3,1990
and scorpion anchorage,3,1990
and señoritas were,3,1990
and yellow banks,3,1990
astraea undosa cases,3,1990
at any other,3,1990
at each site,3,1990
at santa barbara,3,1990
aurantia haliotis rufescens,3,1990
b s california,3,1990
barbara island site,3,1990
be found in,3,1990
blacksmith and señoritas,3,1990
brown sea hare,3,1990
california brown sea,3,1990
california channel islands,3,1990
california department of,3,1990
can be found,3,1990
catalina isl marine,3,1990
