Indicator,Species,Kingdom,Phylum,Subphylum,Class,Order,Family,Genus,Species (Used by KFM),Status,Currently Accepted Name,Authority (Accepted),ScientificName,ScientificName_Short_Form,CommonName,Common_Name,CommonNameSimple,CommonName_Capitalized,AlternateTaxonName,SpeciesName,ID_Short,ID_Long,Abundance,Abundance_Long,Habitat_Broad,Habitat_Specific,Size_Range,Size_Range_Long,Geographic_Range,Life_Stage,Sex,Trophic_Complete,Trophic_Broad,Color,Classification,Class_Short,oneM_,fiveM_,bands_,rpc_,rdfc_,VFT_,Targeted_Broad,Commercial_Fishery,Recreational_Fishery,Bag_Limit,Legal_Size_cm,Fishery_Info_notes,Useful_Links
TRUE,11003,Animalia,Echinodermata,Asterozoa,Asteroidea,Forcipulatida,Asteriidae,Pycnopodia,Pycnopodia helianthoides,Accepted,Pycnopodia helianthoides,"Brandt, 1835",Pycnopodia helianthoides,P. helianthoides,sunflower star,sunflower_star,sunflower star,Sunflower Star,Pycnopodia helianthoides,Pycnopodia helianthoides,Large sea star has 20 to 24 flexible arms. Juveniles have 5 arms. Color varies from purple to orange.,NA,"Rare after 2014 disease, common before",Rare after 2014 disease,Benthic,NA,to 90 cm,to 90 cm,Alaska to San Diego (uncommon south of Monterey),NA,NA,carnivore,Carnivore,darkviolet,Invertebrates,I,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,35,No Limit,NA,NA
TRUE,11004,Animalia,Echinodermata,Echinozoa,Echinoidea,Camarodonta,Toxopneustidae,Lytechinus,Lytechinus anamesus,Unaccepted,Lytechinus pictus,"Verrill, 1867",Lytechinus anamesus,L. anamesus,white sea urchin,white_sea_urchin,white sea urchin,White Urchin,Lytechinus anamesus,Lytechinus anamesus,"Small sea urchin with sharp, short white spines. Test is usually white with dark blotches.",NA,Uncommon,Uncommon,Benthic,NA,"to 8 cm in diameter, 2-4 cm most common","to 8 cm in diameter, 2-4 cm most common",Santa Rosa Island to Baja,NA,NA,herbivore,Herbivore,gray45,Invertebrates,I,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,35,No Limit,NA,NA
TRUE,11005,Animalia,Echinodermata,Echinozoa,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,Strongylocentrotus franciscanus,Unaccepted,Mesocentrotus franciscanus,"A. Agassiz, 1863",Strongylocentrotus franciscanus,S. franciscanus,red sea urchin,red_sea_urchin,red sea urchin,Red Urchin,Strongylocentrotus franciscanus,Strongylocentrotus franciscanus,"Large urchin with sharp, long spines. Color ranges from red to dark reddish-purple to black.","The Red Sea Urchin, Mesocentrotus franciscanus, (previously Strongylocentrotus, A. Agassiz, 1863) belong to the phylum Echinodermata (meaning “spiny-skinned”), which includes sea stars, brittle stars, sea cucumbers, and sand dollars. Urchins have a hard, dome-shaped shell known as a “test”, which is covered with spines used for defense, movement, and catching drift kelp (Figure 1-1). Tube feet cover the test of the sea urchin and are used for locomotion and passing food to the mouth. The mouth, located at the base of the urchin, consists of five plates that make up a jaw structure commonly known as “Aristotle’s lantern” which is used for scraping kelp. The Red Sea Urchin is the largest sea urchin in the class Echinoidea, which consists of about 940 species of sea urchins and sand dollars worldwide (Follo and Fautin 2001). The maximum size for Red Sea Urchin is about 7 inches (in) (17.8 centimeters (cm)) test diameter and their color range includes various hues of pink, red, burgundy, and purple. Red Sea Urchin weight fluctuates depending on the state of their gonads, but a typical commercial legal-size specimen in the north at 3.5 in (8.9 cm) test diameter will weigh about 1 pound (lb) (454 grams (g)) (CDFW unpublished data). A larger individual at 5 in (128 cm) test diameter observed during a department survey in Caspar Cove, Mendocino County weighed 1.7 lb (786 g) (CDFW unpublished data). Commercial divers harvest Red Sea Urchins for their gonads (roe), which are sought after domestically and internationally. Uni (pronounced oo-nee) is the Japanese term for the roe and is served mostly raw in sushi restaurants. Besides the Red Sea Urchin, there are many other sea urchins in California that co-exist with Red Sea Urchin including the Purple Sea Urchin (Strongylocentrotus purpuratus) found statewide and the Coronado or Crowned Sea Urchin (Centrostephanus coronatus) found mostly in warmer waters of southern California. Although there is a small market for Purple Sea Urchin, Red Sea Urchin make up about 99% of the California sea urchin fisheries landings (CDFW Marine License Database System (MLDS 2018)).",Abundant,"No information exists on abundance estimates or current depletion level of the stock in California. Red Sea Urchin density and size are monitored by the KFMP in the Channel Islands National Park. The Partnership for Interdisciplinary Studies of Coastal Oceans (PISCO) collects density of Red Sea Urchin at southern California mainland and Channel Islands sites. Reef Check collects density data statewide. These data can inform abundance estimates of sea urchin populations in selected regions of the state including many of the MPAs, which act as a gauge for undisturbed sea urchin populations. A summary of Reef Check data (Figure 1-7) shows Red and Purple Sea Urchin densities from 2013 to 2017 for North and North Central sites within harvest areas of the Red Sea Urchin fishery. Densities of Red Sea Urchin ranged from 0.66 to 1.0 urchin/meter2 with little change during the study period, but Purple Sea Urchin densities increased dramatically from 2013 with 0.4 urchin/meter2 (4.3 urchin/foot2) to 2017 with 12.8 urchin/meter2 (137.8 urchin/foot2). Although it appears that densities of Red Sea Urchin have not been dramatically affected by the Purple Sea Urchin population explosion, the data reveal a change in the ecological structure between the two competing kelp grazers that both depend on macroalgae to survive. The trend of Red Sea Urchin densities between PISCO (Figure 1-8) and KFMP (Figure 1-9) sites inside and outside of MPAs is similar from 2013 to 2018. Red Sea Urchin densities in both data sets, inside and outside of MPAs, were highest in 2013 and 2014. In 2016, as southern California fisheries landings began to drop (Figure 2-7) Red Sea Urchin densities also fell to its lowest levels in 2017 and 2018. Red Sea Urchin monitoring data collected by multiple groups corroborates declining trends in abundance; however, more work needs to be done to fully analyze this information. In 2017, Red Sea Urchin in southern California was a case study for management strategy evaluation (Hordyk et al. 2017). Hordyk et al. (2017) states that the Red Sea Urchin fishery does not appear to be heavily depleted, and that the minimum size limit provides sufficient protections to allow an individual to reproduce before becoming available to the fishery. A sea urchin settlement study commenced in 1990 and has continued to present day (Ebert et al. 1994; Schroeter et al. 2019). This study uses brush collectors consisting of scrub brushes with nylon bristles to collect Purple and Red Sea Urchin. Sea urchin are collected bi-weekly from San Diego to Fort Bragg. The Department has access to these data, but it is unclear whether they could be used as a data stream for management of the fishery. However, a key finding from this study is that the settlement of the Red Sea Urchin appears highly correlated with the settlement of Purple Sea Urchin, which suggests that fishing is not affecting the recruitment of the Red Sea Urchin in California (Ebert et al. 1994; Schroeter et al. 2019).",Benthic,"Red Sea Urchin are found in shallow coastal waters from 0 to 300 feet (91.4 meters) on hard substrate and rocky reef. Red Sea Urchin are most often found on rocky-reef structure in shallow waters from the low-tide line extending to at least 300 ft (91.4 m), often under ledges, and in crevices and cracks; although, they are also found out in the open (Figure 1-12). They often live in smooth depressions in the reef, called “bowls”, created from years of grinding and erosion. Red Sea Urchin prefer more sheltered areas of the coastline and offshore islands and are highly associated with kelp beds and areas of other abundant algae. Red Sea Urchin can travel over sand using their oral spines when food is scarce and water movement is minimal (Laur et al. 1986); although, typically they do not prefer a sandy or loose sediment environment. Newly settled juvenile urchins are vulnerable and are preyed upon more often in kelp forest habitat, where predators are presumably more abundant than in similar rocky habitats just outside of kelp beds. Adult sea urchins and their spines are important protective structures in subtidal communities. The canopy formed by the spines is a micro-habitat that shelters juvenile sea urchins, shrimps, crabs, brittle stars, fish, abalone, and other invertebrates. The spine canopy is most likely an important habitat for juvenile sea urchins, especially in areas where alternative cryptic habitats (such as crevices and undersides of boulders) are rare or absent.",to 178 mm test diameter,"The maximum size for Red Sea Urchin is about 7 inches (17.8 centimeters) test diameter. Weight is highly dependent on gonad development, but a typical commercial-size sea urchin in the north at 3.5 inches test diameter (8.9 centimeters) will weigh about 1 pound (453.6 grams).",Alaska to Baja,NA,NA,herbivore,Herbivore,red3,Invertebrates,I,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Targeted,Targeted,Targeted,35,No Limit,Rec fishery not tracked.,NA
TRUE,11006,Animalia,Echinodermata,Echinozoa,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,Strongylocentrotus purpuratus,Accepted,Strongylocentrotus purpuratus,"Stimpson, 1857",Strongylocentrotus purpuratus,S. purpuratus,purple sea urchin,purple_sea_urchin,purple sea urchin,Purple Urchin,Strongylocentrotus purpuratus,Strongylocentrotus purpuratus,Medium sized sea urchin with short purple spines. Frequently bores depressions in rocks. Occasionally juveniles less than 2.5 cm have greenishwhite spines,NA,Abundant,Abundant,"Benthic, cryptic",NA,to 80 mm test diameter,to 8 cm test diameter,Alaska to Baja,NA,NA,herbivore,Herbivore,purple3,Invertebrates,I,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,35,No Limit,NA,NA
TRUE,11007,Animalia,Echinodermata,Echinozoa,Holothuroidea,Synallactida,Stichopodidae,Parastichopus,Parastichopus parvimensis,Unaccepted,Apostichopus parvimensis,"H.L. Clark, 1913",Parastichopus parvimensis,P. parvimensis,warty sea cucumber,warty_sea_cucumber,warty sea cucumber,Warty Sea Cucumber,Parastichopus parvimensis,Parastichopus parvimensis,Brown to orange sea cucumber is covered with small black-tipped papillae or pseudospines. Tube feet located on ventral surface.,"Warty Sea Cucumber (Apostichopus parvimensis, formerly known as Parastichopus parvimensis) is an economically important invertebrate that is harvested by commercial divers in southern California. Warty Sea Cucumber belong to the Phylum Echinodermata, and are related to sea stars, brittle stars, sea urchin, and sand dollars. Individuals are typically orange, brown, or chestnut in color and are cylindrically shaped with a soft outer body wall that is covered in mucous. Warty Sea Cucumber are named after the numerous small black tipped projections known as “papillae” that cover the dorsal (top side) portion of their body, with a small number of these projections being elongated into soft cone or spine like projections (Figure 1-1). Warty Sea Cucumber have branched buccal tentacles at their mouth end for feeding (Figure 1-1). In place of a hard exoskeleton, sea cucumber have loosely arranged microscopic calcareous structures known as “ossicles” that vary in both shape and complexity based on their location within the body. Tentacle rods are up to 600 micrometers (0.024 in) long, body wall tables are about 45 micrometers (0.0018 in) across, and body wall buttons are about 90 micrometers (0.0035 in) long (Solís-Marín et al. 2009) (Figure 1-2).",Common,"Although Warty Sea Cucumber range throughout southern California, the most comprehensive long-term monitoring information that currently exists, centers around populations at the northern Channel Islands. Although the National Park Service Kelp Forest Monitoring Program (KFMP) monitors the size and densities of many species of fish, invertebrates, and algae, the information regarding the densities of Warty Sea Cucumber is particularly valuable to management considering the historic significance of the northern Channel Islands to the commercial fishery (see section 2.1), and that monitoring commenced prior to the start of the commercial fishery and the implementation of MPAs. Monitoring data recorded by KFMP at 17 MPA sites and 19 fished sites around the northern Channel Islands demonstrate significant declines in Warty Sea Cucumber densities after the fishery developed in the early 1990s (Figure 1-9). An analysis of KFMP data found that significant declines occurred within 3 to 6 years after the start of fishing, with densities inside MPAs remaining relatively unchanged (Schroeter et al. 2001). After establishment of MPAs in 2003, populations required approximately 10 years to recover to pre-fishing densities (Figure 1-9) (David Kushner personal communication).",Benthic,depths from the subtidal zone to 180 feet (55 meters). They are commonly found to inhabit both rocky reef and sand/mud substrate., to 51 cm in-situ; to 24.1 cm in constricted state ,"can reach a maximum of 15 to 20 inches (38 to 51 centimeters) when encountered in their natural state (in-situ) on the seafloor; however, this size measurement is not an accurate measure of body size due to the ability of sea cucumber to extend and contract their bodies. The maximum reported length for Warty Sea Cucumber in a constricted state is 9.5 inches (24.1 centimeters) and a maximum width (excluding soft spines) of 3.5 inches (8.9 centimeters). The maximum weight in a whole or live state is 1.64 pounds (743.9 grams), with the maximum weight in a cut eviscerated state (the predominant commercial landing condition) of 0.82 pounds (371.9 grams).",central California to Baja,NA,NA,detritivore,Detritivore,yellow3,Invertebrates,I,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Targeted,Targeted,Targeted,35,No Limit,Dive fishery began in 1996,https://marinespecies.wildlife.ca.gov/warty-sea-cucumber/
TRUE,11008,Animalia,Echinodermata,Echinozoa,Holothuroidea,Dendrochirotida,Sclerodactylidae,Pachythyone,Pachythyone rubra,Accepted,Pachythyone rubra,"Clark, 1901",Pachythyone rubra,P. rubra,aggregated red sea cucumber,aggregated_red_sea_cucumber,aggregated red sea cucumber,Aggregated Red Sea Cucumber,Pachythyone rubra,Pachythyone rubra,"Small cucumber, with white to brown feeding tentacles. Body color varies, can be brown, white, or orange. Tube feet are scattered over entire body and can retract completely.",NA,Common,Common,"Benthic, cryptic",NA,"to 5cm in length, 1-3 common","to 5cm in length, 1-3 common",NA,NA,NA,detritivore,Detritivore,darkorange3,Invertebrates,I,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,35,No Limit,NA,NA
TRUE,11009,Animalia,Echinodermata,Echinozoa,Echinoidea,Diadematoida,Diadematidae,Centrostephanus,Centrostephanus coronatus,Accepted,Centrostephanus coronatus,"Verrill, 1867",Centrostephanus coronatus,C. coronatus,Coronado urchin,Coronado_urchin,Coronado urchin,Coronado Urchin,Centrostephanus coronatus,Centrostephanus coronatus,"larger spine:test ratio, blue rings around base of spines when viewed with dive light, cryptic",NA,Common at southern islands,common southern,"Benthic, cryptic",NA,to around 15cm test diameter,to around 15cm test diameter,NA,NA,NA,herbivore,Herbivore,gray36,Invertebrates,I,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,35,No Limit,NA,NA
TRUE,11010,Animalia,Echinodermata,Asterozoa,Ophiuroidea,Amphilepidida,Ophiotrichidae,Ophiothrix,Ophiothrix spiculata,Accepted,Ophiothrix spiculata,"Le Conte, 1851",Ophiothrix spiculata,O. spiculata,spiny brittle star,spiny_brittle_star,spiny brittle star,Spiny Brittle Star,Ophiothrix spiculata,Ophiothrix spiculata,"Small brittle star with long, erect spines on the arms and disc. Often aggregates",NA,Abundant,Abundant,Benthic,NA,"to 30 cm in diameter, 15cm more common","to 30 cm in diameter, 15cm more common",central California to Galapagos Islands,NA,NA,detritivore,Detritivore,darkgoldenrod1,Invertebrates,I,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,35,No Limit,NA,NA
TRUE,11011,Animalia,Echinodermata,Asterozoa,Asteroidea,Forcipulatida,Asteriidae,Pisaster,Pisaster ochraceus,Accepted,Pisaster ochraceus,"Brandt, 1835",Pisaster ochraceus,P. ochraceus,ochre sea star,ochre_sea_star,ochre sea star,Ochre Sea Star,Pisaster ochraceus,Pisaster ochraceus,Thick armed star with numerous small white spines on the aboral surface arranged in a reticular pattern. Color varies.,NA,"Uncommon in subtidal, prone to disease",uncommon after 2014 wasting disease,Benthic,NA,to 35cm in diameter,to 35cm in diameter,NA,NA,NA,carnivore,Carnivore,coral3,Invertebrates,I,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,35,No Limit,NA,NA
TRUE,11012,Animalia,Echinodermata,Echinozoa,Echinoidea,Arbacioida,Arbaciidae,Arbacia,Arbacia stellata,Accepted,Arbacia stellata,"Blainville, 1825; ?Gmelin, 1791",Arbacia stellata,A. stellata,black starry sea urchin,black_starry_sea_urchin,black starry sea urchin,Black Starry Urchin,Arbacia stellata,Arbacia stellata,"smaller, less common urchin with short spines, browner color",NA,Uncommon,Uncommon,Benthic,NA,to 70 mm,to 70 mm,California to Peru,NA,NA,herbivore,Herbivore,black,Invertebrates,I,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,35,No Limit,NA,NA
TRUE,12001,Animalia,Chordata,Tunicata,NA,NA,NA,NA,Tunicata,Accepted,Tunicata,"Lamarck, 1816",Tunicata,Tunicata,tunicates,tunicates,tunicates,Other Tunicates,Tunicata,Tunicates,Smooth colonies with many small openings and a few larger apertures. Variable in color.,NA,Common,Common,Benthic,NA,variable,variable,NA,NA,NA,filter feeder + planktivore,Planktivore,coral,Invertebrates,I,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,35,No Limit,NA,NA
TRUE,12002,Animalia,Chordata,Tunicata,Ascidiacea,Stolidobranchia,Styelidae,Styela,Styela montereyensis,Accepted,Styela montereyensis,"Dall, 1872",Styela montereyensis,S. montereyensis,stalked tunicate,stalked_tunicate,stalked tunicate,Stalked Tunicate,Styela montereyensis,Styela montereyensis,"Long stalked, solitary tunicate with longitudinal ridges. Color yellow to dark red-brown.",NA,Abundant,Abundant,Benthic,NA,to 25cm in height,to 25cm in height,British Columbia to Baja,NA,NA,filter feeder + planktivore,Planktivore,deeppink4,Invertebrates,I,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,35,No Limit,NA,NA
TRUE,13001,Animalia,NA,NA,NA,NA,NA,NA,Miscellaneous Invertebrates including Ophiothrix spiculata,Accepted,Miscellaneous Invertebrates including Ophiothrix spiculata,NA,Miscellaneous Invertebrates including Ophiothrix spiculata,Misc. Inverts,Miscellaneous Invertebrates including Ophiothrix spiculata,Miscellaneous_Invertebrates_w_spiny_brittle_stars,Miscellaneous Invertebrates w spiny brittle stars,Misc. Invert (w/ Spiny Brittle Stars),Miscellaneous Invertebrates including Ophiothrix spiculata,Miscellaneous Invertebrates including Ophiothrix spiculata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brown,Invertebrates,I,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,35,No Limit,NA,NA
TRUE,13002,Animalia,NA,NA,NA,NA,NA,NA,Miscellaneous Invertebrates excluding Ophiothrix spiculata,Accepted,Miscellaneous Invertebrates excluding Ophiothrix spiculata,NA,Miscellaneous Invertebrates excluding Ophiothrix spiculata,Misc. Inverts ,Miscellaneous Invertebrates excluding Ophiothrix spiculata,Miscellaneous_Invertebrates_wo_spiny_brittle_stars,Miscellaneous Invertebrates wo spiny brittle stars,Misc. Invert (w/o Spiny Brittle Stars),Miscellaneous Invertebrates excluding Ophiothrix spiculata,Miscellaneous Invertebrates w/o Ophiothrix spiculata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brown,Invertebrates,I,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,35,No Limit,NA,NA
TRUE,13003,Animalia,NA,NA,NA,NA,NA,NA,Misc Inverts,Accepted,Misc Inverts,NA,Misc Inverts,Misc. Inverts ,Misc Inverts,Misc_Inverts,Misc Inverts,Misc Inverts,Misc Inverts,Misc Inverts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brown,Invertebrates,I,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,35,No Limit,NA,NA
TRUE,14001,Animalia,Chordata,Vertebrata,Actinopterygii,Perciformes,Pomacentridae,Chromis,Chromis punctipinnis,Accepted,Chromis punctipinnis,"Cooper, 1863",Chromis punctipinnis,C. punctipinnis,"blacksmith, adult",blacksmith,blacksmith,Blacksmith (Adult),"Chromis punctipinnis, adult","blacksmith, adult","Damsel fish with blue bordered caudal, anal and dorsal fins. Black spots on scales scattered from mid-body to tail. Schooling",NA,Abundant,Abundant,Water column,NA,to 30 cm,to 30 cm,"Monterey Bay to Baja, rare north of Pt. Conception",Adult,NA,zooplanktivore,Planktivore,blue,Fish,F,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Non-targeted,Non-targeted,Non-targeted,10,No Limit,NA,NA
TRUE,14002,Animalia,Chordata,Vertebrata,Actinopterygii,Perciformes,Pomacentridae,Chromis,Chromis punctipinnis,Accepted,Chromis punctipinnis,"Cooper, 1863",Chromis punctipinnis,C. punctipinnis,"blacksmith, juvenile",blacksmith,blacksmith,Blacksmith (Juvenile),"Chromis punctipinnis, juvenile","blacksmith, juvenile",bright yellow tail coloration (usually <5cm length),NA,Abundant,Abundant,Water column,NA,<10 cm,<10 cm,"Monterey Bay to Baja, rare north of Pt. Conception",Juvenile,NA,zooplanktivore,Planktivore,blue,Fish,F,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Non-targeted,Non-targeted,Non-targeted,10,No Limit,NA,NA
TRUE,14001.5,Animalia,Chordata,Vertebrata,Actinopterygii,Perciformes,Pomacentridae,Chromis,Chromis punctipinnis,Accepted,Chromis punctipinnis,"Cooper, 1863",Chromis punctipinnis,C. punctipinnis,blacksmith,blacksmith,blacksmith,Blacksmith,"Chromis punctipinnis, juvenile",blacksmith,"Damsel fish with blue bordered caudal, anal and dorsal fins. Black spots on scales scattered from mid-body to tail. Schooling",NA,Abundant,Abundant,Water column,NA,to 30 cm,to 30 cm,"Monterey Bay to Baja, rare north of Pt. Conception",NA,NA,zooplanktivore,Planktivore,blue,Fish,F,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Non-targeted,Non-targeted,Non-targeted,10,No Limit,NA,NA
TRUE,14003,Animalia,Chordata,Vertebrata,Actinopterygii,Perciformes,Labridae,Oxyjulis,Oxyjulis californica,Accepted,Oxyjulis californica,"Gunther, 1861",Oxyjulis californica,O. californica,"senorita, adult",senorita,senorita,Senorita (Adult),"Oxyjulis californica, adult","señorita, adult","White belly, sharp canine teeth that typically protrude from mouth, yellow to orange in color, and large black spot on tail base",NA,Abundant,Abundant,Water column,NA,to 25cm,to 25cm,northern California to central Baja,Adult,NA,benthic micro-invertivore + zooplanktivore,Planktivore,darkgoldenrod1,Fish,F,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Non-targeted,Non-targeted,Non-targeted,10,No Limit,NA,NA
TRUE,14003.5,Animalia,Chordata,Vertebrata,Actinopterygii,Perciformes,Labridae,Oxyjulis,Oxyjulis californica,Accepted,Oxyjulis californica,"Gunther, 1861",Oxyjulis californica,O. californica,senorita,senorita,senorita,Senorita,"Oxyjulis californica, adult",señorita,"White belly, sharp canine teeth that typically protrude from mouth, yellow to orange in color, and large black spot on tail base",NA,Abundant,Abundant,Water column,NA,to 25cm,to 25cm,northern California to central Baja,Adult,NA,benthic micro-invertivore + zooplanktivore,Planktivore,darkgoldenrod1,Fish,F,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Non-targeted,Non-targeted,Non-targeted,10,No Limit,NA,NA
TRUE,14004,Animalia,Chordata,Vertebrata,Actinopterygii,Perciformes,Labridae,Oxyjulis,Oxyjulis californica,Accepted,Oxyjulis californica,"Gunther, 1861",Oxyjulis californica,O. californica,"senorita, juvenile",senorita,senorita,Senorita (Juvenile),"Oxyjulis californica, juvenile","señorita, juvenile",<10cm length,NA,Abundant,Abundant,Water column,NA,<10 cm,<10 cm,northern California to central Baja,Juvenile,NA,benthic micro-invertivore + zooplanktivore,Planktivore,darkgoldenrod1,Fish,F,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Non-targeted,Non-targeted,Non-targeted,10,No Limit,NA,NA
TRUE,14005,Animalia,Chordata,Vertebrata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes mystinus,Accepted,Sebastes mystinus,"Jordan & Gilbert, 1881",Sebastes mystinus,S. mystinus,"blue rockfish, adult",blue_rockfish,blue rockfish,Blue Rockfish (Adult),"Sebastes mystinus, adult","blue rockfish, adult","Mottled blue to gray in color, juveniles with red coloration. Slightly projected jaw that extends to midpoint of eye, 2-4 curved bands around front of head.",NA,Common,Common,Water column,NA,to 40 cm  ,to 40 cm  ,SE Alaska to Baja,Adult,NA,Piscivore + Zooplanktivore,Planktivore,blue4,Fish,F,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Targeted,Targeted,Targeted,10,No Limit,NA,NA
TRUE,14005.5,Animalia,Chordata,Vertebrata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes mystinus,Accepted,Sebastes mystinus,"Jordan & Gilbert, 1881",Sebastes mystinus,S. mystinus,blue rockfish,blue_rockfish,blue rockfish,Blue Rockfish,"Sebastes mystinus, adult",blue rockfish,"Mottled blue to gray in color, juveniles with red coloration. Slightly projected jaw that extends to midpoint of eye, 2-4 curved bands around front of head.",NA,Common,Common,Water column,NA,to 40 cm  ,to 40 cm  ,SE Alaska to Baja,Adult,NA,Piscivore + Zooplanktivore,Planktivore,blue4,Fish,F,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Targeted,Targeted,Targeted,10,No Limit,NA,NA
TRUE,14006,Animalia,Chordata,Vertebrata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes mystinus,Accepted,Sebastes mystinus,"Jordan & Gilbert, 1881",Sebastes mystinus,S. mystinus,"blue rockfish, juvenile",blue_rockfish,blue rockfish,Blue Rockfish (Juvenile),"Sebastes mystinus, juvenile","blue rockfish, juvenile","<10cm, elongate body, dorsal spot, maroon mottling",NA,Common,Common,Water column,NA,<10 cm,<10 cm,SE Alaska to Baja,Juvenile,NA,Piscivore + Zooplanktivore,Planktivore,blue4,Fish,F,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Targeted,Targeted,Targeted,10,No Limit,NA,NA
TRUE,14007,Animalia,Chordata,Vertebrata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes serranoides,Accepted,Sebastes serranoides,"Eigenmann & Eigenmann, 1890",Sebastes serranoides,S. serranoides,"olive rockfish, adult",olive_rockfish,olive rockfish,Olive Rockfish (Adult),"Sebastes serranoides, adult","olive rockfish, adult",Olive green with lighter coloring below lateral line and several pale spots below dorsal fin.,NA,Common,Common,"Benthic, water column",NA,to 60 cm  ,to 60 cm  ,southern Oregon to Baja,Adult,NA,benthic macro-invertivore + piscivore,Piscivore,darkolivegreen2,Fish,F,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Targeted,Targeted,Targeted,10,No Limit,NA,NA
TRUE,14007.5,Animalia,Chordata,Vertebrata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes serranoides,Accepted,Sebastes serranoides,"Eigenmann & Eigenmann, 1890",Sebastes serranoides,S. serranoides,olive rockfish,olive_rockfish,olive rockfish,Olive Rockfish,"Sebastes serranoides, adult",olive rockfish,Olive green with lighter coloring below lateral line and several pale spots below dorsal fin.,NA,Common,Common,"Benthic, water column",NA,to 60 cm  ,to 60 cm  ,southern Oregon to Baja,Adult,NA,benthic macro-invertivore + piscivore,Piscivore,darkolivegreen2,Fish,F,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Targeted,Targeted,Targeted,10,No Limit,NA,NA
TRUE,14008,Animalia,Chordata,Vertebrata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes serranoides,Accepted,Sebastes serranoides,"Eigenmann & Eigenmann, 1890",Sebastes serranoides,S. serranoides,"olive rockfish, juvenile",olive_rockfish,olive rockfish,Olive Rockfish (Juvenile),"Sebastes serranoides, juvenile","olive rockfish, juvenile","<10cm elongate body, dorsal spot, white dorsal spots, yellow fins",NA,Common,Common,"Benthic, water column",NA,<10 cm,<10 cm,southern Oregon to Baja,Juvenile,NA,benthic macro-invertivore + piscivore,Piscivore,darkolivegreen3,Fish,F,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Targeted,Targeted,Targeted,10,No Limit,NA,NA
